iter	Passed	Remaining
0	1	130
1	2	115
2	3	107
3	4	99
4	5	99
5	6	96
6	7	94
7	8	93
8	9	93
9	10	93
10	11	93
11	12	93
12	14	94
13	15	94
14	16	93
15	17	92
16	18	90
17	19	89
18	20	88
19	21	86
20	22	84
21	23	83
22	24	82
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	57
44	45	56
45	46	55
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
